date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,B.1.1.7,B.1.617.2,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
2020-08-28,0.019073757378496165,0.06637529452627894,0.006430868167202572,0.32706107478870994,0.0,0.0,0.0,0.0
2020-08-29,0.014357036464941799,0.06661380238810292,0.0040192926045016075,0.3271053703999008,0.0,0.0,0.0,0.0
2020-08-30,0.013460583659734099,0.06683741782819919,0.00482315112540193,0.32715852513332977,0.0,0.0,0.0,0.0
2020-08-31,0.017391184421029403,0.06712633080971701,0.005627009646302251,0.32722053898899695,0.0,0.0,0.0,0.0
2020-09-01,0.026590169360622275,0.0675680629495793,0.001607717041800643,0.32723825723347333,0.0,0.0,0.0,0.0
2020-09-02,0.03606498593258675,0.0681671965313946,0.006430868167202572,0.32730913021137864,0.0,0.0,0.0,0.0
2020-09-03,0.03675456501351575,0.06877778582223122,0.00482315112540193,0.3273622849448077,0.0,0.0,0.0,0.0
2020-09-04,0.035733987973740826,0.0693714206637163,0.00482315112540193,0.32741543967823666,0.0,0.0,0.0,0.0
2020-09-05,0.03018977216307166,0.0698729516046699,0.00964630225080386,0.3275217491450947,0.0,0.0,0.0,0.0
2020-09-06,0.028355491807800517,0.07034401035962679,0.006430868167202572,0.32759262212300005,0.0,0.0,0.0,0.0
2020-09-07,0.047746455563524026,0.07113720365226332,0.01045016077170418,0.32770779071209627,0.0,0.0,0.0,0.0
2020-09-08,0.04137474485574005,0.07182454619354282,0.007234726688102894,0.3277875228122398,0.0,0.0,0.0,0.0
2020-09-09,0.03931979919457163,0.07247775072193878,0.007234726688102894,0.3278672549123833,0.0,0.0,0.0,0.0
2020-09-10,0.04274011143597948,0.0731877755670805,0.00964630225080386,0.3279735643792413,0.0,0.0,0.0,0.0
2020-09-11,0.03940254868428311,0.07384235478055902,0.008038585209003215,0.328062155601623,0.0,0.0,0.0,0.0
2020-09-12,0.03042422905058752,0.07434778066257988,0.014469453376205787,0.32822161980191,0.0,0.0,0.0,0.0
2020-09-13,0.023556021404534673,0.07473910768274834,0.011254019292604502,0.3283456475132444,0.0,0.0,0.0,0.0
2020-09-14,0.03995421194902631,0.07540285146344392,0.013665594855305467,0.3284962525912933,0.0,0.0,0.0,0.0
2020-09-15,0.041926408120483254,0.07609935857194047,0.012057877813504822,0.32862913942486577,0.0,0.0,0.0,0.0
2020-09-16,0.05160809841672643,0.07695670383509644,0.017684887459807074,0.3288240401141055,0.0,0.0,0.0,0.0
2020-09-17,0.054325039995586695,0.07785918459179643,0.01929260450160772,0.32903665904782153,0.0,0.0,0.0,0.0
2020-09-18,0.058945219837811,0.0788384185989393,0.016881028938906754,0.32922270061482306,0.0,0.0,0.0,0.0
2020-09-19,0.0576350195840459,0.07979588675894164,0.014469453376205787,0.3293821648151101,0.0,0.0,0.0,0.0
2020-09-20,0.06378606498593259,0.0808555398434142,0.022508038585209004,0.3296302202377788,0.00031938677738741617,0.0,0.0,0.0
2020-09-21,0.0648066420257075,0.08193214737723833,0.01929260450160772,0.3298428391714949,0.00031938677738741617,0.0,0.0,0.0
2020-09-22,0.07386771114911458,0.08315928292760266,0.027331189710610933,0.3301440493275926,0.0,0.0,0.0,0.0
2020-09-23,0.08119104098858057,0.08450807810777347,0.04180064308681672,0.33060472368397736,0.00031938677738741617,0.0,0.0,0.0
2020-09-24,0.08672146521763116,0.08594874807429531,0.02652733118971061,0.33089707471783697,0.0,0.0,0.0,0.0
2020-09-25,0.08325977823136757,0.0873319103815301,0.023311897106109324,0.33115398926274386,0.0,0.0,0.0,0.0
2020-09-26,0.07788106140012137,0.08862571815839855,0.028135048231511254,0.33146405854107974,0.0,0.0,0.0,0.0
2020-09-27,0.08308048767032604,0.09000590198128779,0.03376205787781351,0.33183614167508285,0.0,0.0,0.0,0.0
2020-09-28,0.11831797870579798,0.09197147253516673,0.03778135048231511,0.33225252042027675,0.0,0.0,0.0,0.0
2020-09-29,0.12022121696916202,0.09396866084594455,0.03456591639871383,0.332633462676518,0.0,0.0,0.0,0.0
2020-09-30,0.14507364704584322,0.09637871290985091,0.03858520900321544,0.3330587005439501,0.0006387735547748323,0.0,0.0,0.0
2020-10-01,0.1559138301980471,0.0989688487195725,0.04421221864951769,0.33354595226704936,0.00031938677738741617,0.0,0.0,0.0
2020-10-02,0.1596375572350637,0.10162084535800923,0.05144694533762058,0.3341129360902922,0.0,0.0,0.0,0.0
2020-10-03,0.13377834170022618,0.10384325290814629,0.04421221864951769,0.33460018781339146,0.0,0.0,0.0,0.0
2020-10-04,0.13561262205549732,0.10609613264428007,0.04340836012861737,0.33507858041425254,0.0,0.0,0.0,0.0
2020-10-05,0.1935372648535334,0.10931129193820516,0.04742765273311897,0.3356012686263045,0.0,0.0,0.0,0.0
